tag3	tag1	name	autonym	source
kap		Bezhta		iso639-3
aar	aa	Afar	Qafar	cldr
aaq		Eastern Abnaki		iso639-3
aap		Pará Arára	Ukarãngmã	iso639-3, ethnologue
aao		Algerian Saharan Arabic		iso639-3
aan		Anambé		iso639-3
aal		Afade		iso639-3
aak		Ankave		iso639-3
aai		Arifama-Miniafia		iso639-3
aah		Abu' Arapesh		iso639-3
aag		Ambrak		iso639-3
aaf		Aranadan		iso639-3
aae		Arbëreshë Albanian		iso639-3
aad		Amal		iso639-3
aac		Ari		iso639-3
aab		Alumu-Tesu		iso639-3
aaa		Ghotuo		iso639-3
lnj		Leningitij		iso639-3
ben	bn	Bangla	বাংলা	cldr
abk	ab	Abkhazian	аҧсуа бызшәа‎ (Aṗsua byzšwa), аҧсшәа‎ (Aṗsšwa)	cldr, ethnologue
bem		Bemba	Ichibemba	cldr
bek		Bebeli		iso639-3
bej		Beja	Bedàwie, Tu Bdhaawi	cldr, ethnologue
bei		Bekati'		iso639-3
beh		Biali	Biali	iso639-3, ethnologue
beg		Belait		iso639-3
bef		Benabena		iso639-3
bee		Byangsi		iso639-3
bed		Bedoanas		iso639-3
bec		Iceve-Maci		iso639-3
beb		Bebele		iso639-3
bea		Beaver	Danezaa ZaageɁ‎ (Danezaa Zaage)	iso639-3, ethnologue
bdz		Badeshi		iso639-3
bdy		Bandjalang		iso639-3
bdx		Budong-Budong		iso639-3
bdw		Baham		iso639-3
bdv		Bodo Parja		iso639-3
bdu		Oroko		iso639-3
bdt		Bokoto		iso639-3
bds		Burunge	Burungaisoo	iso639-3, ethnologue
bdr		West Coast Bajau	Sama	iso639-3, ethnologue
bdq		Bahnar		iso639-3
bdp		Bende		iso639-3
bdo		Morom		iso639-3
bdn		Baldemu		iso639-3
bdm		Buduma		iso639-3
bdl		Indonesian Bajau		iso639-3
bdk		Budukh		iso639-3
bdj		Bai		iso639-3
bdi		Burun		iso639-3
bdh		Baka (Sudan)		iso639-3
bdg		Bonggi		iso639-3
bdf		Biage		iso639-3
bde		Bade	Gabaden	iso639-3, ethnologue
bdd		Bunama		iso639-3
bdc		Emberá-Baudó		iso639-3
bdb		Basap		iso639-3
bda		Bayot		iso639-3
bcz		Bainouk-Gunyaamolo		iso639-3
bcy		Bacama		iso639-3
bcw		Bana		iso639-3
bcv		Shoo-Minda-Nye		iso639-3
bcu		Awad Bing		iso639-3
bct		Bendi		iso639-3
bcs		Kohumono		iso639-3
bcr		Babine	Nedut’en	iso639-3, ethnologue
bcq		Bench		iso639-3
bcp		Bali (Democratic Republic of Congo)		iso639-3
bco		Kaluli		iso639-3
bcn		Bali (Nigeria)	Abaali, Maya	iso639-3, ethnologue
bcm		Bannoni	Tsunari	iso639-3, ethnologue
bcl		Central Bikol		iso639-3
bck		Bunaba		iso639-3
bcj		Bardi		iso639-3
bci		Baoulé		iso639-3
bch		Bariai	Bariai	iso639-3, ethnologue
bcg		Baga Pokur		iso639-3
bcf		Bamu		iso639-3
bce		Bamenyam		iso639-3
bcd		North Babar		iso639-3
bcc		Southern Balochi	بلوچی‎ (Balōčī), بلوچی زبان‎ (Balōčī Zubān)	iso639-3, ethnologue
bcb		Bainouk-Samik		iso639-3
bca		Central Bai	白语‎ (Baip‧ngvp‧zix)	iso639-3, ethnologue
bbz		Babalia Creole Arabic		iso639-3
bby		Befang		iso639-3
bbx		Bubia		iso639-3
bbw		Baba	Supapyak’	iso639-3, ethnologue
bbv		Karnai		iso639-3
bbu		Kulung (Nigeria)		iso639-3
bbt		Mburku		iso639-3
bbs		Bakpinka		iso639-3
bbr		Girawa		iso639-3
bbq		Bamali	Chopechop	iso639-3, ethnologue
bbp		West Central Banda		iso639-3
bbo		Northern Bobo Madaré		iso639-3
bbn		Uneapa		iso639-3
bbm		Babango		iso639-3
bbl		Bats		iso639-3
bbk		Babanki	Nga-Kejom	iso639-3, ethnologue
bbj		Ghomala		cldr
bbi		Barombi		iso639-3
bbh		Bugan		iso639-3
bbg		Barama		iso639-3
bbf		Baibai		iso639-3
bbe		Bangba		iso639-3
bbd		Bau		iso639-3
bbc		Batak Toba	Batta	cldr, ethnologue
bbb		Barai		iso639-3
bba		Baatonum	Baatonum	iso639-3, ethnologue
bay		Batuley		iso639-3
bax		Bamun	Shüpamom	cldr, ethnologue
baw		Bambili-Bambui		iso639-3
bav		Vengo		iso639-3
bau		Bada (Nigeria)		iso639-3
bas		Basaa	Ɓàsàa	cldr
bar		Bavarian	Boarisch	cldr, ethnologue
bap		Bantawa		iso639-3
bao		Waimaha	Waimaja	iso639-3, ethnologue
ban		Balinese	Basa Bali, Basa Bali	cldr, ethnologue
bal		Baluchi		cldr
baj		Barakai		iso639-3
bah		Bahamas Creole English		iso639-3
bag		Tuki		iso639-3
baf		Nubaca		iso639-3
bae		Baré		iso639-3
bac		Badui		iso639-3
bab		Bainouk-Gunyuño		iso639-3
baa		Babatana		iso639-3
azz		Highland Puebla Nahuatl	Mexicano, Nahuatlahtolli	iso639-3, ethnologue
azt		Faire Atta		iso639-3
azo		Awing	Atembuluwe	iso639-3, ethnologue
